family,params,regs_atoms,physical_atoms,ancilla_atoms,ancilla_qubits,gamma_log,beta_mean,beta_min,max_unfold_dim,site_count,skipped_heavy,failed
QUBO_sweep,"{""n"": 12, ""inst"": 1, ""encoder"": ""sweep""}",28.0,12.0,16.0,16.0,8.780367744354669,2.217079854839867,1.3246697916833174,32.0,12.0,,
QUBO_sweep,"{""n"": 12, ""inst"": 2, ""encoder"": ""sweep""}",28.0,12.0,16.0,16.0,7.04854967391854,1.815294554104803,1.3774151525853664,32.0,12.0,,
QUBO_pauli,"{""n"": 12, ""inst"": 0, ""encoder"": ""pauli""}",,,,,,,,,,True,
QUBO_pauli,"{""n"": 12, ""inst"": 1, ""encoder"": ""pauli""}",,,,,,,,,,True,
QUBO_pauli,"{""n"": 12, ""inst"": 2, ""encoder"": ""pauli""}",,,,,,,,,,True,
QUBO_network,"{""n"": 12, ""inst"": 0, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_network,"{""n"": 12, ""inst"": 1, ""encoder"": ""network""}",,,,,,,,,,True,
QUBO_network,"{""n"": 12, ""inst"": 2, ""encoder"": ""network""}",,,,,,,,,,True,
PEPS_r4_chi2_order,"{""order"": ""left""}",34.0,16.0,18.0,18.0,27.566213580115598,5.696784583452709,3.7008146298593925,8.0,16.0,,
PEPS_r4_chi2_order,"{""order"": ""greedy""}",34.0,16.0,18.0,18.0,27.566213580115598,5.696784583452709,3.7008146298593925,8.0,16.0,,
PEPS_r4_chi2_order,"{""order"": ""random""}",40.0,16.0,24.0,24.0,28.392282261524358,6.042510392874763,3.7008146298593925,32.0,16.0,,
QUBO_sweep_n12_order,"{""order"": ""left""}",28.0,12.0,16.0,16.0,7.611423261950697,1.9168847064051748,1.6330680788981262,32.0,12.0,,
QUBO_sweep_n12_order,"{""order"": ""greedy""}",28.0,12.0,16.0,16.0,7.611423261950697,1.9168847064051748,1.6330680788981262,32.0,12.0,,
QUBO_sweep_n12_order,"{""order"": ""random""}",35.0,12.0,23.0,23.0,13.256903251109629,3.1440907173048025,1.8440777717073882,512.0,12.0,,
